id,name_sci,name_en,name_sv
384,Tragopan caboti,Cabot's Tragopan,cabottragopan
385,Tetraophasis obscurus,Verreaux's Monal-Partridge,brunstrupig kungshöna
386,Tetraophasis szechenyii,Szechenyi's Monal-Partridge,gulstrupig kungshöna
387,Lophophorus impejanus,Himalayan Monal,himalayamonal
388,Lophophorus sclateri,Sclater's Monal,vitstjärtad monal
389,Lophophorus lhuysii,Chinese Monal,kinesisk monal
390,Pucrasia macrolopha,Koklass Pheasant,koklassfasan
391,Meleagris gallopavo,Wild Turkey,kalkon
392,Meleagris ocellata,Ocellated Turkey,arguskalkon
393,Bonasa umbellus,Ruffed Grouse,kragjärpe
394,Tetrastes bonasia,Hazel Grouse,järpe
395,Tetrastes sewerzowi,Chinese Grouse,kinesisk järpe
396,Centrocercus urophasianus,Sage Grouse,strålstjärtshöna
397,Centrocercus minimus,Gunnison Grouse,gunnisonhöna
398,Dendragapus obscurus,Dusky Grouse,gråjärpe
399,Dendragapus fuliginosus,Sooty Grouse,sotjärpe
400,Tympanuchus phasianellus,Sharp-tailed Grouse,spetsstjärtad präriehöna
401,Tympanuchus cupido,Greater Prairie Chicken,större präriehöna
402,Tympanuchus pallidicinctus,Lesser Prairie Chicken,mindre präriehöna
403,Lagopus leucura,White-tailed Ptarmigan,vitstjärtad ripa
404,Lagopus lagopus,Willow Ptarmigan,dalripa
405,Lagopus muta,Rock Ptarmigan,fjällripa
406,Falcipennis falcipennis,Siberian Grouse,amurjärpe
407,Canachites canadensis,Spruce Grouse,granjärpe
408,Tetrao urogallus,Western Capercaillie,tjäder
409,Tetrao urogalloides,Black-billed Capercaillie,svartnäbbad tjäder
410,Lyrurus tetrix,Black Grouse,orre
411,Lyrurus mlokosiewiczi,Caucasian Grouse,kaukasisk orre
412,Rhizothera longirostris,Long-billed Partridge,långnäbbshöna
413,Rhizothera dulitensis,Dulit Partridge,dulithöna
414,Perdix hodgsoniae,Tibetan Partridge,tibetrapphöna
415,Perdix perdix,Grey Partridge,rapphöna
416,Perdix dauurica,Daurian Partridge,stäpprapphöna
417,Syrmaticus soemmerringii,Copper Pheasant,kopparfasan
418,Syrmaticus reevesii,Reeves's Pheasant,kungsfasan
419,Syrmaticus mikado,Mikado Pheasant,mikadofasan
420,Syrmaticus ellioti,Elliot's Pheasant,elliotfasan
421,Syrmaticus humiae,Mrs. Hume's Pheasant,humefasan
422,Chrysolophus pictus,Golden Pheasant,guldfasan
423,Chrysolophus amherstiae,Lady Amherst's Pheasant,diamantfasan
424,Phasianus colchicus,Common Pheasant,fasan
425,Phasianus versicolor,Green Pheasant,grön fasan
426,Catreus wallichii,Cheer Pheasant,klippfasan
427,Crossoptilon harmani,Tibetan Eared Pheasant,tibetansk öronfasan
428,Crossoptilon crossoptilon,White Eared Pheasant,vit öronfasan
429,Crossoptilon mantchuricum,Brown Eared Pheasant,brun öronfasan
430,Crossoptilon auritum,Blue Eared Pheasant,blå öronfasan
431,Lophura edwardsi,Edwards's Pheasant,edwardsfasan
432,Lophura swinhoii,Swinhoe's Pheasant,swinhoefasan
433,Lophura bulweri,Bulwer's Pheasant,bulwerfasan
434,Lophura leucomelanos,Kalij Pheasant,kalijfasan
435,Lophura nycthemera,Silver Pheasant,silverfasan
436,Lophura erythrophthalma,Crestless Fireback,släthuvad eldrygg
437,Lophura diardi,Siamese Fireback,siamesisk eldrygg
438,Lophura inornata,Salvadori's Pheasant,salvadorifasan
439,Lophura ignita,Crested Fireback,tofseldrygg
440,Rheinardia ocellata,Vietnamese Crested Argus,annamitargus
441,Rheinardia nigrescens,Malayan Crested Argus,tofsargus
442,Argusianus argus,Great Argus,större argus
443,Afropavo congensis,Congo Peafowl,kongopåfågel
444,Pavo cristatus,Indian Peafowl,påfågel
445,Pavo muticus,Green Peafowl,grön påfågel
446,Tropicoperdix chloropus,Green-legged Partridge,grönfotshöna
447,Tropicoperdix charltonii,Chestnut-necklaced Partridge,charltonhöna
448,Haematortyx sanguiniceps,Crimson-headed Partridge,blodhöna
449,Galloperdix spadicea,Red Spurfowl,röd dvärgfasan
450,Galloperdix lunulata,Painted Spurfowl,brokdvärgfasan
451,Galloperdix bicalcarata,Sri Lanka Spurfowl,ceylondvärgfasan
452,Polyplectron napoleonis,Palawan Peacock-Pheasant,palawanpåfågelfasan
453,Polyplectron schleiermacheri,Bornean Peacock-Pheasant,borneopåfågelfasan
454,Polyplectron malacense,Malayan Peacock-Pheasant,malackapåfågelfasan
455,Polyplectron germaini,Germain's Peacock-Pheasant,Germains påfågelfasan
456,Polyplectron katsumatae,Hainan Peacock-Pheasant,hainanpåfågelfasan
457,Polyplectron bicalcaratum,Grey Peacock-Pheasant,grå påfågelfasan
458,Polyplectron inopinatum,Mountain Peacock-Pheasant,bergpåfågelfasan
